# Record_dt	File	Modify-time	How-long(hours)	Dependency

# Type: sz_vars_conv.sent:
2016-06-14T21:57	../RESULT/10/2016-06-06/google/3/sz_vars_conv.sent	(-)	-	(wait_for [12]: ../RESULT/10/2016-06-06/google/3/sz_traits_30days.gz)
2016-06-21T23:48	../RESULT/10/2016-06-13/google/3/sz_vars_conv.sent	(-)	-	(wait_for [10]: ../RESULT/10/2016-05-19/google/0/2016-05-19T06.gz)
2016-06-28T23:50	../RESULT/10/2016-06-20/google/3/sz_vars_conv.sent	2016-06-24 11:00	107 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/google/3/sz_vars_conv.sent	2016-07-01 04:36	100 hours (4 days)	-
2016-07-12T22:50	../RESULT/10/2016-07-04/google/3/sz_vars_conv.sent	2016-07-08 06:50	102 hours (4 days)	-
2016-07-19T23:41	../RESULT/10/2016-07-11/google/3/sz_vars_conv.sent	2016-07-15 09:22	105 hours (4 days)	-
2016-07-26T23:53	../RESULT/10/2016-07-18/google/3/sz_vars_conv.sent	2016-07-22 03:19	99 hours (4 days)	-
2016-08-02T23:24	../RESULT/10/2016-07-25/google/3/sz_vars_conv.sent	2016-07-29 01:35	97 hours (4 days)	-
2016-08-09T23:00	../RESULT/10/2016-08-01/google/3/sz_vars_conv.sent	2016-08-05 12:05	108 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/google/3/sz_vars_conv.sent	2016-08-12 07:24	103 hours (4 days)	-
2016-08-23T23:58	../RESULT/10/2016-08-15/google/3/sz_vars_conv.sent	2016-08-19 01:56	97 hours (4 days)	-
2016-08-30T23:37	../RESULT/10/2016-08-22/google/3/sz_vars_conv.sent	2016-08-26 09:53	105 hours (4 days)	-
2016-09-06T23:52	../RESULT/10/2016-08-29/google/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T23:18	../RESULT/10/2016-09-05/google/3/sz_vars_conv.sent	2016-09-09 04:32	100 hours (4 days)	-
2016-09-20T22:16	../RESULT/10/2016-09-12/google/3/sz_vars_conv.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-27T23:59	../RESULT/10/2016-09-19/google/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T22:44	../RESULT/10/2016-09-26/google/3/sz_vars_conv.sent	2016-09-30 03:30	99 hours (4 days)	-
2016-10-11T22:13	../RESULT/10/2016-10-03/google/3/sz_vars_conv.sent	2016-10-07 17:38	113 hours (4 days)	-
2016-10-18T21:23	../RESULT/10/2016-10-10/google/3/sz_vars_conv.sent	2016-10-14 12:41	108 hours (4 days)	-
2016-10-25T16:04	../RESULT/10/2016-10-17/google/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:23	../RESULT/10/2016-10-24/google/3/sz_vars_conv.sent	2016-10-27 22:36	94 hours (3 days)	-
2016-11-08T14:40	../RESULT/10/2016-10-31/google/3/sz_vars_conv.sent	2016-11-04 01:22	97 hours (4 days)	-
2016-11-15T23:10	../RESULT/10/2016-11-07/google/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T23:17	../RESULT/10/2016-11-14/google/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/google/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)
2016-06-14T22:41	../RESULT/10/2016-06-06/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-06-06/predict_gr_v2.gz)
2016-06-21T23:41	../RESULT/10/2016-06-13/net/0/sz_vars_conv.sent	2016-06-19 04:56	148 hours (6 days)	-
2016-06-28T23:50	../RESULT/10/2016-06-20/net/0/sz_vars_conv.sent	2016-06-24 03:04	99 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/net/0/sz_vars_conv.sent	2016-06-30 20:53	92 hours (3 days)	-
2016-07-12T22:50	../RESULT/10/2016-07-04/net/0/sz_vars_conv.sent	2016-07-07 23:41	95 hours (3 days)	-
2016-07-19T23:40	../RESULT/10/2016-07-11/net/0/sz_vars_conv.sent	2016-07-15 00:42	96 hours (4 days)	-
2016-07-26T23:50	../RESULT/10/2016-07-18/net/0/sz_vars_conv.sent	2016-07-21 18:43	90 hours (3 days)	-
2016-08-02T23:20	../RESULT/10/2016-07-25/net/0/sz_vars_conv.sent	2016-07-28 16:42	88 hours (3 days)	-
2016-08-09T23:00	../RESULT/10/2016-08-01/net/0/sz_vars_conv.sent	2016-08-05 03:01	99 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/net/0/sz_vars_conv.sent	2016-08-11 20:43	92 hours (3 days)	-
2016-08-23T23:51	../RESULT/10/2016-08-15/net/0/sz_vars_conv.sent	2016-08-18 16:52	88 hours (3 days)	-
2016-08-30T23:51	../RESULT/10/2016-08-22/net/0/sz_vars_conv.sent	2016-08-25 21:02	93 hours (3 days)	-
2016-09-06T23:50	../RESULT/10/2016-08-29/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T23:51	../RESULT/10/2016-09-05/net/0/sz_vars_conv.sent	2016-09-08 18:43	90 hours (3 days)	-
2016-09-20T22:11	../RESULT/10/2016-09-12/net/0/sz_vars_conv.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-27T23:51	../RESULT/10/2016-09-19/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T22:41	../RESULT/10/2016-09-26/net/0/sz_vars_conv.sent	2016-09-29 14:56	86 hours (3 days)	-
2016-10-11T22:10	../RESULT/10/2016-10-03/net/0/sz_vars_conv.sent	2016-10-07 04:45	100 hours (4 days)	-
2016-10-18T21:40	../RESULT/10/2016-10-10/net/0/sz_vars_conv.sent	2016-10-14 00:46	96 hours (4 days)	-
2016-10-25T21:51	../RESULT/10/2016-10-17/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:21	../RESULT/10/2016-10-24/net/0/sz_vars_conv.sent	2016-10-27 08:55	80 hours (3 days)	-
2016-11-08T14:40	../RESULT/10/2016-10-31/net/0/sz_vars_conv.sent	2016-11-07 11:42	179 hours (7 days)	-
2016-11-15T23:51	../RESULT/10/2016-11-07/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T23:31	../RESULT/10/2016-11-14/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)
2016-06-21T23:52	../RESULT/10/2016-06-13/ssp/3/sz_vars_conv.sent	2016-06-19 19:08	163 hours (6 days)	-
2016-06-28T23:53	../RESULT/10/2016-06-20/ssp/3/sz_vars_conv.sent	2016-06-24 14:47	110 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/ssp/3/sz_vars_conv.sent	2016-07-01 07:55	103 hours (4 days)	-
2016-07-12T22:50	../RESULT/10/2016-07-04/ssp/3/sz_vars_conv.sent	2016-07-08 11:16	107 hours (4 days)	-
2016-07-19T23:42	../RESULT/10/2016-07-11/ssp/3/sz_vars_conv.sent	2016-07-15 13:59	109 hours (4 days)	-
2016-07-26T23:30	../RESULT/10/2016-07-18/ssp/3/sz_vars_conv.sent	2016-07-22 09:51	105 hours (4 days)	-
2016-08-02T23:26	../RESULT/10/2016-07-25/ssp/3/sz_vars_conv.sent	2016-07-29 09:58	105 hours (4 days)	-
2016-08-09T23:00	../RESULT/10/2016-08-01/ssp/3/sz_vars_conv.sent	2016-08-05 21:14	117 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/ssp/3/sz_vars_conv.sent	2016-08-12 14:48	110 hours (4 days)	-
2016-08-24T00:02	../RESULT/10/2016-08-15/ssp/3/sz_vars_conv.sent	2016-08-19 08:33	104 hours (4 days)	-
2016-08-30T23:40	../RESULT/10/2016-08-22/ssp/3/sz_vars_conv.sent	2016-08-26 10:27	106 hours (4 days)	-
2016-09-06T23:52	../RESULT/10/2016-08-29/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T22:31	../RESULT/10/2016-09-05/ssp/3/sz_vars_conv.sent	2016-09-09 08:25	104 hours (4 days)	-
2016-09-20T20:47	../RESULT/10/2016-09-12/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-28T00:02	../RESULT/10/2016-09-19/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T22:44	../RESULT/10/2016-09-26/ssp/3/sz_vars_conv.sent	2016-09-30 10:15	106 hours (4 days)	-
2016-10-11T22:13	../RESULT/10/2016-10-03/ssp/3/sz_vars_conv.sent	2016-10-07 23:41	119 hours (4 days)	-
